File,TIME,VALUE,DURATION,LABEL,Who,Function,Mistake,Negociation,Communicating difficulty,Novelty and Surprise,Joyful,Joke,In Chatter,External,Order,Laughter type,Disruptiveness,Self-involvement,Duration,Description
,4.49015873,1,6.156190476,Joke  1-2,subset,Joke (external),,,,,,1,,1,after joke,Laughter,partial,no,1,"Joke, observational, from someone in the group, laughter respose"
,32.99555556,1,4.408888889,Moving in the right direction,subset,Convey difficulty,,1,,,,,,,after instruction,Laugh,partial,yes,1,"Instructions pose simple task as challenge, laugh in agreement, trepidation at task"
,51.93142857,1,1.96861678,Finn giggle,Lead,Nervous,,,1,,,,,,solo,Giggle,partial,yes,1,"Laugh during instruction, pause to gather thoughts"
,92.63020408,1,1.933061224,chitter,few,Joke (external),,,,,,1,,1,after observation,Titter,no,no,1,"Laugh at obvious statement, just a few not group"
,121.9918367,1,5.851428571,Mistake group laugh,group,Mistake acknowledgement,1,,,,,,,,after correction,"Big laugh, cheer,",yes,partial,3,"Laugh after participant corrects leads mispoken directions, after interval of focused quiet instruction, releasing tension from effort to perform and power between lead and group"
,148.3377778,1,2.438095238,Confusion between directions giggle,few,Resolve confusion,,1,,,,,,,after confusion between instructor and participant,Titter,partial,partial,1,Laugh at resolution (passing over) maybe with undersatnding or confusion
,180.5583673,1,5.945034014,Scattered chortle and chatter,subset,Convey difficulty,,,1,,,,1,,after instruction,titter and laugh,no,yes,2,"Laugh at ""and thats it"" description of dance so far and how segment is used"
,187.6926984,1,3.90893424,Success hoot,subset,Success,,,,,1,,,,group,Laugh and cheer,yes,yes,2,"Laugh scattered across group as they understand they have the ""full"" dance sequence"
,213.5771655,1,5.243356009,Response to How did that feel?,group,Success and Trepidation,,1,,,1,,,,after question,Laughter and clapping,yes,yes,1,"After question about how that trial felt, expressing mixed feelings, difficulty rather than confidence"
,226.2726531,1,1.515102041,Finn mistake diffusion,Lead,Mistake acknowledgement,1,,,,,,,,after mistake,Laughter,no,yes,1,After lead mispeaks again and abdicates the task of calling during this trial
,255.6952381,1,7.366530612,group laugh problem re space,group,Negotiation/Convey difficulty,,1,,,,,1,,after observation,Laughter and chatter,yes,yes,3,After observation from participant that they are shifting and running out of space for the dance in this tight room (problem)
,289.1232653,1,4.075102041,Turn Trepidation laughter no no,subset,Negotiation/Convey difficulty,,,,,,,,,after instruction ,giggle and laugh,yes,yes,1,"After demonstration of how steps continue with different orientation, subset react with trepidation ""no no"" and laughter at challenge"
,293.5118367,1,6.493061224,Scattered giggling,subset,Convey difficulty,,,1,,,,,,during instruction,giggling,partial,partial,2,Scattered laughter continues during instruction 
,318.171,1,0.7,Finn laugh at mistake,Lead,Mistake acknowledgement,1,,,,,,,,during calling,giggle,no,yes,1,"During calling in a demonstration, lead laughs at self after struggling to say the right words"
,325.8514286,1,2.403265306,Laughter group success,group,Success,,,,,1,,,,after Lead points out group in the right direction,laugh and woop and clap,yes,yes,2,"Trial ends and lead turns to see participants and acknowledges ""OK everybody is in the right direction!"" and then the group laughs and clap for themselves."
,330.3444898,1,3.552653061,Scattered laughter,subset,Convey difficulty,,,1,,,,,,Lead demonstrates turn motion,Laughter,yes,yes,2,"As the lead demonstrates how to time the turn, asker and a few others laugh in anticipation of the challenge"
,335.3803175,1,2.356825397,Laughter,subset,Convey difficulty,,,1,,,,,,with side conversation as turn is demonstrated,Laughter,yes,unknown,1,subset of participants laugh about undetermined things
,353.6457143,1,2.977959184,Scattered laughter as calling fades at end of sequence,subset,Convey difficulty,,,1,,,,,,End of trial,Laughter,partial,yes,2,subset of participants laugh through the end of this trial as they struggle to follow at a faster pace
,356.6759184,1,3.500408163,Post turn giggles,subset,Convey difficulty,,,1,,,,,,After end of trial facing new wall,Laughter,yes,yes,2,"Trial ends and participants laugh at their performance, not with success but concern"
,360.7771429,1,3.81968254,Laughing,subset,Convey difficulty,,,1,,,,1,,after trial,Laughter and chatter,yes,yes,1,"subset of participants try to address what was hard about the trial, talking to each other and laughing about the outcome"
,368.904127,1,3.258049887,group laugh at joke(Stand still),group,Joke (internal),,,1,,,1,,,After quip by participant,Laughter,yes,partial,2,"Joke from participant, response to suggestion to try again ""Can we stand still for 10 minutes?"" group laugh at quitting, signally difficulty and willingness to continue with the joke that hits the situation they can relate to"
,375.4318367,1,1.985306122,group reaction chatter laughter,subset,Negotiation/Convey difficulty,,1,,,,,1,,after suggestion to go again,Laughter and chatter,yes,yes,1," Lead calls for group to go again ""Lets see how you are doing."" against calls to add the music, "
,393.6653061,1,2.56,Scattered giggles,subset,Convey difficulty,,,1,,,,,,end of trial,Laughter,partial,yes,1,"Trial ends and participants laugh at their performance, not with success but concern"
,396.277551,1,4.498866213,Laughter collisions?,group,Mistake acknowledgement,1,,,,,,,,After turn and solo woh,Laughter,yes,yes,3,"group laugh at contradictory orientations of dancers, people in the wrong place"
,399.8273016,1,8.003628118,Protest error and laughing,group,Mistake acknowledgement,1,,,,,,,,Participant articulates confusion,Laughter,yes,yes,2,"Participant speaks to the confusion, ""If X was wrong then so was I. Which one of you?"" while laughing and group laughter continues."
,410.4533333,1,4.307301587,Laughter,subset,Negotiation/Convey difficulty,,1,,,,,,,After identification of challenge,Laughter,no,yes,1,"Scattered laughter to request about what needs practicing, the turn transitions. One participants says ""I understand now"", negociating the time spent on this conflict."
,425.1428571,1,3.738412698,Laughter,subset,Convey difficulty,,1,,,,,1,,After lead gives goal,Chatter and laughter,partial,yes,1,Participants comment and laugh at the prospect of completing the sequence four times
,434.7936508,1,2.336507937,Space laugh,subset,Negotiation/Convey difficulty,,1,,,,,1,,After lead calls for repositioning,Chatter and laughter,no,yes,1,Scattered laughter and comments as participants try to find more space to complete the dance.
,450.3161905,1,4.612063492,Anticipatory waiting to hear music tempo,subset,Trepidation,,,1,,,,,,"After lead goes to ""Check the tempo of the music again""", Laughter,yes,partial,2,Scattered laughter at the challenge ahead and maybe each other joking around about the music?
,466.6514286,1,4.649795918,group laughter trepidation after hearing music tempo,group,Trepidation,,,1,,,,1,,After Lead counts the music tempo,Laughter and chatter,yes,yes,3,"Lead goes ""OK"" and participant goes ""Wow"" and the group bursts into laughter at the challenge, disbelief at being able to dance"
,482.7834921,1,4.440816327,Post Turn disorder Laughter,subset,Convey difficulty,,,1,,,,1,,Approaching first turn,Laughter and chatter,no,yes,2,"Participant goes ""Oh no no"" and scattered laughter and ""woh woh"" through the turn and transition"
,488.1066667,1,5.276734694,Scattered laughter,subset,Convey difficulty,,,1,,,,,,Through secound round,Laughter,no,yes,3, More scattered laughter and gasping at their difficulty
,493.1395918,1,6.896326531,Scattered laughter (finn),subset,Mistake acknowledgement,1,,,,,,,,Everyone laughing at once,Laughter,no,yes,3,Lead and participants continue to laugh and try to keep going but it falls apart.
,504.3722449,1,5.590204082,Laughter diffusion,subset,Mistake acknowledgement,1,,,,,,1,,Lead reviews conditions,Laughter and chatter,yes,yes,3,"""OK this is chaos"""
,511.0595918,1,4.59755102,group Laughter to suggestion of taking it slower,group,Negotiation/Convey difficulty,,1,,,,,1,,Lead suggests slower tempo,Laughter and chatter,yes,yes,2,"Lead ""Why don't we do it slower again?"""
,516.3363265,1,3.448163265,Scattered laughter,subset,Scattered with chatter while resolving challenges,,,1,,,,1,,Continuing to react to failur,Laughter and chatter,partial,yes,2,Scattered laughter through group while plans for next phase are being negotiated verbally
,532.7412245,1,4.493061224,group laughter at display chosing speedisp,group,Negotiation/Convey difficulty,,1,,,,,,,Laugh at graphical display of speed changer,Laughter,yes,partial,3,"The video speed setting options for going faster that normal provoked a ""No!"" response from one participant and laughter through the group."
,538.8016327,1,3.970612245,Laughter at 0.5 too slow,subset,Negotiation/Convey difficulty,,1,,,,,,,React to 0.5 speed of music,Laughter and vocal objections,partial,partial,1,The music played at half speed ad after second is overwhelmed by laughter and objections
 ,574.1191837,1,1.724081633,Single laughing,Participant,Convey difficulty,,,1,,,,,,During 0.75 speed second round,Giggle,no,yes,1,One participant laughs to themselves while the rest of the group is silently dancing to the music
,584.3069388,1,2.194285714,Single laughing,Participant,Convey difficulty,,,1,,,,,,During 0.75 speed thirdround,Giggle,no,yes,2,One participant laughs to themselves while the rest of the group is silently dancing to the music
,594.3902041,1,1.097142857,Single laughing,Participant,Convey difficulty,,,1,,,,,,During 0.75 speed thirdround,Giggle,no,yes,1,One participant laughs to themselves while the rest of the group is silently dancing to the music
,599.8759184,1,2.29877551,Scattered laughter,subset,Mistake acknowledgement,1,,,,,,,,During 0.75 speed run 3,Laughter,no,yes,2,A few participants laugh together as they dance
,603.5330612,1,2.875646259,Scattered laughter,subset,Mistake acknowledgement,1,,,,,,,,During 0.75 speed run 3,Laughter,no,yes,2,A few participants laugh together as they dance
,608.9142857,1,2.246530612,Chittering,subset,Success,,,,,1,,,,After four rounds,Laughter and cheering and chatter,yes,yes,1,Some participants cheers and laugh at getting through four rounds.
,628.2971429,1,2.664489796,Trepidation at suggestion of full speed  laugh chatter,group,Negotiation/Convey difficulty,,1,,,,,,,After lead asks about readiness,Laughter and no,yes,yes,2,"Lead asks ""Are you ready for full speed?"" and group responds with laughter and ""noooo"" and then some say ""Yes!"" its mixed"
,636.4473469,1,2.351020408,Scattered laughter at Many of you can get it,subset,Convey difficulty,,,1,,,,,,"After lead says ""Many of you can get it""",Laughter,no,yes,1,"Lead says ""Lets try full speed. I think many of you can get it."""
,640.4179592,1,3.338231293,"Laughter at ""Just bounce, not in the way""",group,Negotiation/Convey difficulty,,1,,,,,,,"After lead says ""Just bounce""",Laughter,yes,yes,2,"Lead says ""If you are not sure, you know what, just bounce and try not to get in the way"" group laughs at the idea of not dancing along. "
,643.4336508,1,3.454693878,First aid kit joke,group,Joke (internal),,,1,,,1,,,Participant jokes,Laughter,yes,partial,2,"Participant quip ""Do we have a first aid kit in the room?"" group reacts with laughter"
,648.0863492,1,0.975238095,Laughter with chatter background,subset,Social,,,,,,,1,1,While group chatters,Laughter,no,unknown,1,Someone in the group laughs as they repapre for another roung
,652.4865306,1,1.933061224,Finn Laughter at bad idea,subset,Negotiation/Convey difficulty,,1,,,,,,,Lead dismisses 2x speed suggestion,Laughter,yes,partial,1,"Some on suggest trying after at double speed and lead says ""Only for those who volunteer"" and subset laugh."
,665.1326984,1,3.293605442,Laughter about math attention,group,Joke (internal),,,,,,1,,1,Lead quip,Laughter,yes,partial,2,"Lead suggests ""As you are doing this, think about how this could help in math"" and group laugh at the call back to the context of this excercise and maybe the challenge of thinking about math while trying to do the moves."
,688.9534694,1,3,Scattered giggles,subset,Mistake acknowledgement,1,,,,,,1,,During full speed 2nd round,Laughter and chatter,no,yes,1,Yelp at collision and someone giggles and someone says sorry
,700.017,1,1.410612245,Scattered giggles,subset,Convey difficulty,,,1,,,,,,During full speed 3rd round,Giggles,no,yes,2,Scattered quiet giggles as participants try to keep dancing
,708.124,1,1.410612245,Scattered giggles,subset,Convey difficulty,,,1,,,,,,During full speed 4th round,Giggles,no,yes,2,Scattered quiet giggles as participants try to keep dancing
,715.7028571,1,1.410612245,Laughter at success 4 turns,subset,Success,,,,,1,,,,After 4 rounds called at full speed,Cheer and Laughter,partial,yes,1,"Cheer and some laugther after lead says ""quarter turn Hey!"""
,720.1959184,1,1.462857143,Laughter at collision maybe,subset,Mistake acknowledgement,1,,,,,,,,5th round no calling,Laughter and giggles,no,yes,1,Burst of laughter at some kind of mistake that is quickly tamped down as they continue dancing
,723.1216327,1,1.359455782,Post turn hoot,subset,Success,,,,,1,,,,After another successful turn,Laughter and cheering,no,yes,1,Small subset laugh at continued dancing through difficult turn
,724.9879365,1,0.574693878,Scattered laughter,subset,Convey difficulty,,,1,,,,,,During full speed 6th round,Giggles,no,yes,1,Scattered quiet giggles as participants try to keep dancing
,739.9444898,1,1.567346939,Scattered laughter,subset,Convey difficulty,,,1,,,,,,During dancing after Lead suggests style,Giggles,no,partial,1,"Lead suggests ""You can lean in any direction, Quarter Turn!"" and some laugh while dancing"
,742.7657143,1,2.29877551,Scattered laughter,subset,Convey difficulty,,,1,,,,,,During full speed 8th round,Laughter,no,yes,1,Bust of laughter but maybe more related to continued success than any particular mistake
,759.9339683,1,3.86031746,Thanks  attempt laugh,subset,Joke (internal),,,,,,1,,,"Lead ""Thank you for trying that""",Laughter,yes,partial,2,"Lead says ""Thank you for trying that"" group responds with laughter, positive response."